Marka,Model,Rok produkcji,Cena,Przebieg,Rodzaj paliwa,Skrzynia biegów,Typ nadwozia,Pojemność skokowa,Moc,Liczba drzwi,Kolor
Ford,Focus,2019,38 300 PLN,226 000 km,Diesel,Manualna,Kombi,1 498 cm3,120 KM,5,Srebrny
Ford,Focus,2014,19 900 PLN,120 000 km,Benzyna,Manualna,Kombi,999 cm3,100 KM,5,Brązowy
Ford,Mondeo,2015,25 000 PLN,295 000 km,Diesel,Manualna,Kombi,1 997 cm3,150 KM,5,Czarny
Ford,Mustang Mach-E,2024,335 000 PLN,3 km,Elektryczny,Automatyczna,SUV,,487 KM,5,Czerwony
Ford,Kuga,2024,179 900 PLN,4 km,Hybryda,Automatyczna,SUV,2 488 cm3,183 KM,5,Czerwony
Ford,Focus,2014,27 000 PLN,246 970 km,Diesel,Manualna,Kombi,1 560 cm3,115 KM,5,Srebrny
Ford,C-MAX,2015,36 700 PLN,192 000 km,Diesel,Manualna,SUV,1 498 cm3,120 KM,5,Szary
Ford,Fiesta,2016,33 900 PLN,18 814 km,Benzyna,Manualna,Kompakt,1 242 cm3,82 KM,5,Złoty
Ford,Kuga,2008,27 800 PLN,235 900 km,Diesel,Manualna,SUV,1 997 cm3,136 KM,5,Biały
Ford,Mondeo,2014,29 900 PLN,197 500 km,Diesel,Manualna,Kombi,1 997 cm3,140 KM,5,Granatowy
Ford,Mondeo,2019,57 000 PLN,278 500 km,Diesel,Manualna,Sedan,1 997 cm3,150 KM,5,Czarny
Ford,Edge,2015,85 000 PLN,68 000 km,Benzyna+LPG,Automatyczna,SUV,3 496 cm3,285 KM,5,Szary
Ford,S-Max,2013,42 900 PLN,181 000 km,Diesel,Automatyczna,Minivan,1 997 cm3,163 KM,5,Czarny
Ford,Focus,2011,17 999 PLN,232 999 km,Diesel,Manualna,Kombi,1 560 cm3,95 KM,5,Czarny
Ford,Fiesta,2009,16 500 PLN,125 000 km,Benzyna,Manualna,Auta miejskie,1 242 cm3,82 KM,3,Bordowy
Ford,Focus,2018,52 000 PLN,235 000 km,Diesel,Automatyczna,Kombi,1 997 cm3,150 KM,5,Szary
Ford,Transit,2010,7 900 PLN,365 248 km,Diesel,Manualna,Minivan,2 198 cm3,85 KM,5,Biały
Ford,Focus,2011,25 800 PLN,207 000 km,Benzyna+LPG,Manualna,Sedan,1 596 cm3,105 KM,4,Beżowy
Ford,S-Max,2011,23 900 PLN,251 000 km,Diesel,Automatyczna,Minivan,1 997 cm3,140 KM,5,Czarny
Ford,S-Max,2008,21 900 PLN,283 400 km,Diesel,Manualna,Minivan,2 179 cm3,175 KM,5,Czarny
Ford,C-MAX,2017,42 500 PLN,101 000 km,Benzyna,Manualna,Minivan,998 cm3,125 KM,5,Czarny
Ford,Fiesta,2011,18 900 PLN,163 451 km,Diesel,Manualna,Auta małe,1 560 cm3,95 KM,3,Czarny
Ford,Focus,2015,29 850 PLN,195 000 km,Diesel,Manualna,Kompakt,1 499 cm3,115 KM,5,Szary
Ford,Focus,2014,29 900 PLN,88 100 km,Benzyna,Manualna,Auta małe,1 596 cm3,105 KM,5,Granatowy
Ford,Focus,2015,39 500 PLN,195 786 km,Diesel,Manualna,Auta małe,1 997 cm3,150 KM,5,Czarny
Ford,B-MAX,2013,24 900 PLN,114 130 km,Benzyna,Manualna,Auta miejskie,998 cm3,100 KM,5,Złoty
Ford,Tourneo Connect Grand,2020,85 000 PLN,59 000 km,Diesel,Automatyczna,Minivan,1 498 cm3,120 KM,5,Niebieski
Ford,Mondeo,2017,79 827 PLN,128 000 km,Diesel,Automatyczna,Kompakt,1 997 cm3,180 KM,4,Czerwony
Ford,Kuga,2017,61 900 PLN,190 540 km,Diesel,Automatyczna,SUV,1 997 cm3,180 KM,5,Srebrny
Ford,Kuga,2019,59 900 PLN,168 227 km,Diesel,Automatyczna,SUV,1 997 cm3,180 KM,5,Biały
Ford,Kuga,2010,28 700 PLN,302 000 km,Diesel,Manualna,SUV,1 997 cm3,140 KM,5,Czarny
Ford,S-Max,2011,29 000 PLN,270 300 km,Diesel,Automatyczna,Minivan,1 997 cm3,140 KM,5,Czarny
Ford,Mondeo,2019,75 900 PLN,102 598 km,Diesel,Automatyczna,Sedan,1 997 cm3,180 KM,5,Czarny
Ford,Focus,2013,22 900 PLN,157 000 km,Benzyna,Manualna,Kombi,999 cm3,125 KM,5,Brązowy
Ford,Fiesta,2010,12 900 PLN,351 991 km,Diesel,Manualna,Kompakt,1 399 cm3,68 KM,5,Granatowy
Ford,Mondeo,2014,39 900 PLN,129 800 km,Benzyna,Automatyczna,Kompakt,1 999 cm3,240 KM,5,Srebrny
Ford,Focus,2013,16 300 PLN,288 430 km,Diesel,Manualna,Kombi,1 560 cm3,95 KM,5,Niebieski
