Marka,Model,Rok produkcji,Cena,Przebieg,Rodzaj paliwa,Skrzynia biegów,Typ nadwozia,Pojemność skokowa,Moc,Liczba drzwi,Kolor
Fiat,Tipo,2017,34 900 PLN,91 000 km,Benzyna,Manualna,Auta miejskie,1 368 cm3,95 KM,5,Czarny
Fiat,500,2019,49 500 PLN,21 304 km,Benzyna,Manualna,Auta małe,1 242 cm3,69 KM,2,Bordowy
Fiat,Doblo,2011,17 999 PLN,228 000 km,Diesel,Manualna,Minivan,1 598 cm3,105 KM,5,Czerwony
Fiat,500,2021,64 900 PLN,16 000 km,Elektryczny,Automatyczna,Auta małe,,95 KM,3,Czarny
Fiat,Sedici,2010,24 900 PLN,155 000 km,Benzyna,Manualna,SUV,1 586 cm3,120 KM,5,Biały
Fiat,Grande Punto,2007,11 999 PLN,166 000 km,Benzyna,Manualna,Kompakt,1 368 cm3,77 KM,5,Niebieski
Fiat,Grande Punto,2009,12 550 PLN,78 000 km,Benzyna,Manualna,Auta małe,1 242 cm3,65 KM,3,Granatowy
Fiat,Tipo,2024,92 865 PLN,1 km,Diesel,Manualna,Kombi,1 598 cm3,130 KM,5,Pomarańczowy
Fiat,Grande Punto,2009,14 900 PLN,122 000 km,Benzyna+LPG,Manualna,Auta miejskie,1 368 cm3,77 KM,5,Błękitny
Fiat,Panda,2006,7 999 PLN,140 000 km,Benzyna,Manualna,Auta małe,1 242 cm3,69 KM,5,Inny kolor
Fiat,Tipo,2016,34 900 PLN,95 000 km,Benzyna+LPG,Manualna,Sedan,1 368 cm3,95 KM,5,Biały
Fiat,500X,2019,60 000 PLN,59 388 km,Benzyna,Manualna,SUV,1 598 cm3,110 KM,5,Szary
Fiat,Sedici,2012,27 900 PLN,132 000 km,Benzyna,Manualna,Kompakt,1 586 cm3,120 KM,5,Fioletowy
Fiat,Panda,2006,8 450 PLN,153 000 km,Benzyna,Manualna,Auta małe,1 242 cm3,60 KM,5,Żółty
Fiat,500X,2016,43 900 PLN,149 875 km,Benzyna,Manualna,SUV,1 598 cm3,110 KM,5,Szary
Fiat,Ducato,2007,10 900 PLN,156 000 km,Diesel,Manualna,Auta małe,2 198 cm3,100 KM,4,Biały
Fiat,Grande Punto,2009,7 300 PLN,160 990 km,Benzyna,Manualna,Auta małe,1 242 cm3,65 KM,5,Granatowy
Fiat,126,1979,9 900 PLN,29 800 km,Benzyna,Manualna,Auta małe,652 cm3,23 KM,2,Inny kolor
Fiat,500,2009,20 000 PLN,60 000 km,Benzyna,Manualna,Auta małe,1 242 cm3,69 KM,3,Czerwony
Fiat,Punto 2012,2013,18 500 PLN,79 000 km,Benzyna,Manualna,Auta małe,1 368 cm3,77 KM,5,Inny kolor
Fiat,Grande Punto,2008,8 000 PLN,119 000 km,Benzyna,Manualna,Auta miejskie,1 368 cm3,77 KM,3,Czerwony
Fiat,Croma,2007,11 000 PLN,341 770 km,Diesel,Automatyczna,Kombi,2 387 cm3,200 KM,5,Brązowy
Fiat,Panda,2005,4 250 PLN,93 750 km,Benzyna,Manualna,Auta małe,1 108 cm3,54 KM,5,Niebieski
Fiat,500,2008,17 900 PLN,157 000 km,Benzyna+LPG,Manualna,Auta małe,1 368 cm3,100 KM,3,Biały
Fiat,500,2016,16 800 PLN,100 000 km,Benzyna,Manualna,Auta małe,1 242 cm3,69 KM,3,Czerwony
Fiat,Doblo,2007,16 900 PLN,171 000 km,Diesel,Manualna,Minivan,1 248 cm3,85 KM,5,Srebrny
Fiat,500L,2013,25 900 PLN,194 000 km,Benzyna,Manualna,Minivan,875 cm3,105 KM,5,Czerwony
Fiat,500X,2018,58 900 PLN,80 000 km,Benzyna,Automatyczna,SUV,1 368 cm3,140 KM,5,Zielony
Fiat,Tipo,2017,21 800 PLN,93 200 km,Benzyna+LPG,Manualna,Kompakt,1 368 cm3,120 KM,5,Czerwony
Fiat,500,2016,37 500 PLN,62 300 km,Benzyna,Manualna,Auta małe,1 242 cm3,69 KM,3,Inny kolor
Fiat,Qubo,2015,27 999 PLN,130 000 km,Diesel,Manualna,Auta miejskie,1 300 cm3,75 KM,5,Srebrny
Fiat,Bravo,2008,16 500 PLN,214 000 km,Benzyna,Manualna,Kompakt,1 368 cm3,150 KM,5,Srebrny
Fiat,Qubo,2015,27 900 PLN,164 000 km,Diesel,Manualna,Minivan,1 248 cm3,75 KM,5,Niebieski
Fiat,Doblo,2018,44 900 PLN,91 800 km,Diesel,Manualna,Minivan,1 598 cm3,120 KM,5,Biały
Fiat,Bravo,2014,25 900 PLN,112 971 km,Benzyna,Manualna,Kompakt,1 368 cm3,120 KM,5,Brązowy
Fiat,Bravo,2011,23 900 PLN,126 111 km,Benzyna,Manualna,Kompakt,1 368 cm3,120 KM,5,Czarny
Fiat,500,2020,49 500 PLN,35 800 km,Benzyna,Manualna,Auta małe,1 242 cm3,69 KM,3,Szary
Fiat,500,2016,28 000 PLN,34 000 km,Benzyna,Manualna,Auta miejskie,1 242 cm3,69 KM,3,Szary
Fiat,Panda,2010,8 000 PLN,163 200 km,Benzyna,Manualna,Auta małe,1 108 cm3,54 KM,5,Inny kolor
Fiat,500,2014,23 500 PLN,111 000 km,Benzyna,Manualna,Auta miejskie,1 242 cm3,69 KM,3,Czerwony
Fiat,600,2024,115 700 PLN,1 km,Hybryda,Automatyczna,Kompakt,1 199 cm3,100 KM,5,Błękitny
Fiat,500,2008,19 900 PLN,138 000 km,Benzyna,Manualna,Auta małe,1 368 cm3,100 KM,3,Czerwony
Fiat,Tipo,2021,34 900 PLN,97 000 km,Benzyna,Manualna,Sedan,1 368 cm3,95 KM,4,Srebrny
Fiat,Grande Punto,2009,6 499 PLN,159 850 km,Diesel,Manualna,Kompakt,1 248 cm3,75 KM,3,Czarny
Fiat,Punto,2007,12 500 PLN,170 000 km,Benzyna,Manualna,Kompakt,1 368 cm3,77 KM,5,Czarny
Fiat,Tipo,2018,42 900 PLN,91 562 km,Benzyna,Manualna,Sedan,1 368 cm3,95 KM,4,Szary
Fiat,500,2015,26 800 PLN,140 000 km,Benzyna,Manualna,Auta małe,1 242 cm3,69 KM,3,Biały
Fiat,Bravo,2009,14 500 PLN,282 000 km,Benzyna,Manualna,Kompakt,1 368 cm3,120 KM,5,Inny kolor
Fiat,500X,2016,49 000 PLN,37 125 km,Benzyna,Manualna,SUV,1 598 cm3,110 KM,5,Biały
Fiat,500,2010,19 900 PLN,175 678 km,Benzyna,Manualna,Auta małe,1 242 cm3,69 KM,3,Beżowy
Fiat,Tipo,2017,42 600 PLN,58 000 km,Benzyna,Manualna,Kompakt,1 368 cm3,95 KM,5,Inny kolor
Fiat,Punto Evo,2011,15 000 PLN,145 257 km,Benzyna,Manualna,Kompakt,1 242 cm3,69 KM,3,Granatowy
Fiat,500,2014,31 700 PLN,139 150 km,Benzyna,Manualna,Auta miejskie,875 cm3,105 KM,3,Czerwony
Fiat,Freemont,2012,39 900 PLN,199 000 km,Diesel,Manualna,SUV,1 956 cm3,170 KM,5,Biały
Fiat,Punto,2010,11 700 PLN,186 000 km,Benzyna,Manualna,Auta małe,1 242 cm3,69 KM,5,Granatowy
Fiat,Bravo,2008,11 900 PLN,216 330 km,Diesel,Manualna,Kompakt,1 910 cm3,150 KM,5,Inny kolor
Fiat,Punto,2015,21 900 PLN,117 234 km,Benzyna,Manualna,Kompakt,1 242 cm3,69 KM,3,Czarny
Fiat,500,2014,27 800 PLN,49 670 km,Benzyna,Manualna,Auta małe,1 242 cm3,69 KM,3,Niebieski
Fiat,Sedici,2009,23 900 PLN,201 000 km,Benzyna,Manualna,SUV,1 586 cm3,120 KM,5,Biały
Fiat,Tipo,2018,39 000 PLN,89 000 km,Benzyna,Manualna,Sedan,1 368 cm3,95 KM,5,Szary
Fiat,500,2008,13 990 PLN,110 300 km,Benzyna,Manualna,Auta małe,1 242 cm3,69 KM,3,Żółty
Fiat,Siena,1999,69 900 PLN,239 km,Benzyna,Manualna,Sedan,1 242 cm3,75 KM,4,Zielony
Fiat,Linea,2008,5 400 PLN,150 000 km,Diesel,Manualna,Sedan,1 248 cm3,90 KM,4,Beżowy
Fiat,Tipo,2019,29 700 PLN,176 000 km,Benzyna+LPG,Manualna,Sedan,1 368 cm3,95 KM,4,Złoty
Fiat,Grande Punto,2011,10 209 PLN,330 000 km,Diesel,Manualna,Kompakt,1 248 cm3,75 KM,3,Biały
Fiat,500,2019,45 900 PLN,37 000 km,Benzyna,Manualna,Auta małe,1 242 cm3,69 KM,3,Biały
Fiat,500,2020,57 000 PLN,62 200 km,Benzyna,Manualna,Auta miejskie,1 242 cm3,69 KM,3,Czerwony
Fiat,Tipo,2017,31 500 PLN,117 500 km,Benzyna,Manualna,Kompakt,1 368 cm3,95 KM,5,Granatowy
Fiat,500L,2014,24 900 PLN,223 000 km,Diesel,Manualna,Minivan,1 248 cm3,84 KM,5,Srebrny
Fiat,500,2016,34 500 PLN,31 000 km,Benzyna,Manualna,Auta małe,1 242 cm3,69 KM,3,Inny kolor
Fiat,Doblo,2018,66 000 PLN,63 300 km,Benzyna,Manualna,Minivan,1 368 cm3,120 KM,5,Biały
Fiat,500,2014,19 000 PLN,133 000 km,Diesel,Manualna,Auta małe,1 248 cm3,75 KM,3,Czarny
Fiat,Panda,2005,10 000 PLN,113 800 km,Benzyna,Automatyczna,Auta małe,1 242 cm3,60 KM,5,Bordowy
Fiat,Panda,2007,17 700 PLN,146 100 km,Benzyna,Manualna,Auta małe,1 368 cm3,100 KM,5,Czarny
Fiat,Panda,2006,3 000 PLN,170 000 km,Benzyna,Manualna,Auta małe,1 108 cm3,54 KM,5,Żółty
Fiat,500e,2014,39 900 PLN,56 000 km,Elektryczny,Automatyczna,Auta miejskie,,113 KM,3,Inny kolor
Fiat,500L,2016,39 900 PLN,45 413 km,Benzyna+LPG,Manualna,Auta miejskie,1 368 cm3,95 KM,5,Beżowy
Fiat,Sedici,2007,19 650 PLN,98 000 km,Diesel,Manualna,SUV,1 910 cm3,120 KM,5,Czarny
