Marka,Model,Rok produkcji,Cena,Przebieg,Rodzaj paliwa,Skrzynia biegów,Typ nadwozia,Pojemność skokowa,Moc,Liczba drzwi,Kolor
Volvo,XC 40,2023,199 900 PLN,2 619 km,Benzyna,Automatyczna,SUV,1 969 cm3,197 KM,5,Niebieski
Volvo,XC 40,2023,199 900 PLN,5 340 km,Benzyna,Automatyczna,SUV,1 969 cm3,197 KM,5,Biały
Volvo,XC 40,2023,174 900 PLN,21 950 km,Benzyna,Automatyczna,SUV,1 969 cm3,197 KM,5,Beżowy
Volvo,XC 40,2023,164 900 PLN,5 900 km,Elektryczny,Automatyczna,SUV,,252 KM,5,Srebrny
Volvo,XC 60,2023,244 900 PLN,31 332 km,Benzyna,Automatyczna,SUV,1 969 cm3,250 KM,5,Biały
Volvo,XC 60,2021,149 900 PLN,34 317 km,Benzyna,Automatyczna,SUV,1 969 cm3,250 KM,5,Srebrny
Volvo,XC 40,2023,199 900 PLN,8 894 km,Elektryczny,Automatyczna,SUV,,408 KM,5,Szary
Volvo,XC 60,2023,234 900 PLN,19 010 km,Benzyna,Automatyczna,SUV,1 969 cm3,250 KM,5,Czerwony
Volvo,XC 40,2023,189 900 PLN,7 838 km,Elektryczny,Automatyczna,SUV,,231 KM,5,Biały
Volvo,XC 40,2023,189 900 PLN,9 177 km,Elektryczny,Automatyczna,SUV,,231 KM,5,Czarny
Volvo,XC 40,2023,169 900 PLN,11 062 km,Elektryczny,Automatyczna,SUV,,231 KM,5,Srebrny
Volvo,XC 40,2023,154 900 PLN,3 442 km,Elektryczny,Automatyczna,SUV,,231 KM,5,Czarny
Volvo,V60 Cross Country,2018,99 900 PLN,117 500 km,Diesel,Automatyczna,Kombi,1 969 cm3,190 KM,5,Brązowy
Volvo,C40,2023,209 900 PLN,2 233 km,Elektryczny,Automatyczna,SUV,,408 KM,5,Szary
Volvo,XC 40,2019,129 900 PLN,136 000 km,Benzyna,Automatyczna,SUV,1 969 cm3,190 KM,5,Czarny
Volvo,XC 40,2019,129 900 PLN,136 000 km,Benzyna,Automatyczna,SUV,1 969 cm3,190 KM,5,Czarny
Volvo,V60,2021,134 900 PLN,65 000 km,Benzyna,Automatyczna,Kombi,1 969 cm3,197 KM,5,Srebrny
,,Unknown,nowe i używane samochody i motocykle oraz części samochodowe. Ogłoszenia motoryzacyjne.,,,,,,,,
Volvo,EX30,2024,184 900 PLN,12 400 km,Elektryczny,Automatyczna,SUV,,272 KM,5,Żółty
Volvo,XC 40,2023,194 900 PLN,16 712 km,Elektryczny,Automatyczna,SUV,,408 KM,5,Beżowy
Volvo,V60,2023,189 900 PLN,28 308 km,Benzyna,Automatyczna,Kombi,1 969 cm3,197 KM,5,Szary
Volvo,XC 60,2023,249 900 PLN,7 200 km,Diesel,Automatyczna,SUV,1 969 cm3,197 KM,5,Czarny
Volvo,XC 60,2023,244 900 PLN,9 088 km,Diesel,Automatyczna,SUV,1 969 cm3,197 KM,5,Beżowy
Volvo,XC 60,2023,244 900 PLN,29 964 km,Diesel,Automatyczna,SUV,1 969 cm3,197 KM,5,Niebieski
Volvo,XC 60,2021,149 900 PLN,117 524 km,Diesel,Automatyczna,SUV,1 969 cm3,235 KM,5,Szary
Volvo,V60 Cross Country,2023,249 900 PLN,13 601 km,Diesel,Automatyczna,Kombi,1 969 cm3,197 KM,5,Czarny
Volvo,XC 40,2023,209 900 PLN,13 095 km,Benzyna,Automatyczna,SUV,1 969 cm3,250 KM,5,Beżowy
Volvo,XC 40,2023,174 900 PLN,8 710 km,Elektryczny,Automatyczna,SUV,,231 KM,5,Zielony
Volvo,XC 60,2023,314 900 PLN,30 432 km,Hybryda,Automatyczna,SUV,1 969 cm3,310 KM,5,Czarny
Volvo,XC 60,2023,224 900 PLN,19 275 km,Diesel,Automatyczna,SUV,1 969 cm3,197 KM,5,Biały
Volvo,XC 60,2023,234 900 PLN,32 150 km,Benzyna,Automatyczna,SUV,1 969 cm3,250 KM,5,Czarny
Volvo,XC 60,2019,149 900 PLN,118 500 km,Diesel,Automatyczna,SUV,1 969 cm3,190 KM,5,Czerwony
Volvo,XC 40,2021,124 900 PLN,65 410 km,Benzyna,Automatyczna,SUV,1 477 cm3,163 KM,5,Niebieski
Volvo,XC 60,2018,129 900 PLN,100 000 km,Diesel,Automatyczna,SUV,1 969 cm3,190 KM,5,Biały
Volvo,XC 60,2023,224 900 PLN,29 226 km,Diesel,Automatyczna,SUV,1 969 cm3,197 KM,5,Czerwony
Volvo,XC 60,2023,234 900 PLN,39 367 km,Benzyna,Automatyczna,SUV,1 969 cm3,250 KM,5,Szary
Volvo,S90,2023,269 900 PLN,22 437 km,Hybryda Plug-in,Automatyczna,Sedan,1 969 cm3,310 KM,4,Biały
Volvo,XC 40,2023,169 900 PLN,11 357 km,Benzyna,Automatyczna,SUV,1 969 cm3,197 KM,5,Czarny
Volvo,XC 60,2023,219 900 PLN,15 444 km,Diesel,Automatyczna,SUV,1 969 cm3,197 KM,5,Szary
Volvo,V60 Cross Country,2023,259 900 PLN,32 853 km,Diesel,Automatyczna,Kombi,1 969 cm3,197 KM,5,Niebieski
