Marka,Model,Rok produkcji,Cena,Przebieg,Rodzaj paliwa,Skrzynia biegów,Typ nadwozia,Pojemność skokowa,Moc,Liczba drzwi,Kolor
Dacia,Sandero Stepway,2014,23 900 PLN,43 000 km,Diesel,Manualna,Auta miejskie,1 461 cm3,90 KM,5,Czarny
Dacia,Sandero,2012,22 000 PLN,170 000 km,Benzyna,Manualna,Kompakt,1 598 cm3,84 KM,5,Zielony
Dacia,Duster,2021,52 600 PLN,70 000 km,Benzyna+LPG,Manualna,SUV,999 cm3,101 KM,5,Bordowy
Dacia,Duster,2010,23 900 PLN,220 000 km,Benzyna,Manualna,SUV,1 598 cm3,105 KM,5,Niebieski
Dacia,Lodgy,2022,78 800 PLN,28 641 km,Diesel,Manualna,Minivan,1 461 cm3,115 KM,5,Biały
Dacia,Dokker,2014,28 699,199 000 km,Diesel,Manualna,Kombi,1 461 cm3,90 KM,5,Inny kolor
Dacia,Duster,2014,35 500 PLN,69 635 km,Benzyna,Manualna,SUV,1 598 cm3,105 KM,5,Granatowy
Dacia,Lodgy,2012,16 300 PLN,186 500 km,Benzyna,Manualna,Minivan,1 197 cm3,115 KM,5,Srebrny
Dacia,Duster,2015,34 900 PLN,116 000 km,Benzyna,Manualna,SUV,1 199 cm3,125 KM,5,Inny kolor
Dacia,Sandero,2010,19 900 PLN,132 400 km,Benzyna,Manualna,Auta małe,1 598 cm3,105 KM,5,Czerwony
Dacia,Duster,2010,24 900 PLN,167 749 km,Diesel,Manualna,SUV,1 461 cm3,107 KM,5,Czarny
Dacia,Jogger,2022,69 900 PLN,29 905 km,Benzyna,Manualna,Kombi,999 cm3,110 KM,5,Biały
Dacia,Duster,2019,54 500 PLN,118 000 km,Benzyna,Manualna,SUV,1 598 cm3,114 KM,5,Niebieski
Dacia,Spring,2024,39 555 PLN,1 234 km,Elektryczny,Automatyczna,Auta miejskie,,45 KM,5,Niebieski
Dacia,Sandero,2021,45 600 PLN,27 000 km,Benzyna+LPG,Manualna,Auta małe,999 cm3,100 KM,5,Srebrny
Dacia,Duster,2019,49 900 PLN,110 000 km,Benzyna,Manualna,SUV,1 333 cm3,150 KM,5,Czerwony
Dacia,Sandero Stepway,2015,27 900 PLN,79 000 km,Benzyna,Manualna,Kompakt,898 cm3,90 KM,5,Niebieski
Dacia,Sandero Stepway,2022,62 900 PLN,21 200 km,Benzyna+LPG,Manualna,Kompakt,999 cm3,100 KM,5,Szary
Dacia,Sandero,2014,25 900 PLN,114 500 km,Diesel,Manualna,Kompakt,1 461 cm3,90 KM,5,Błękitny
