Marka,Model,Rok produkcji,Cena,Przebieg,Rodzaj paliwa,Skrzynia biegów,Typ nadwozia,Pojemność skokowa,Moc,Liczba drzwi,Kolor
Hyundai,Tucson,2020,50 900 PLN,85 000 km,Diesel,Manualna,SUV,1 598 cm3,136 KM,,
Hyundai,Tucson,2024,175 360 PLN,1 km,Benzyna,Automatyczna,SUV,1 598 cm3,180 KM,5,Biały
Hyundai,i30,2012,22 900 PLN,170 000 km,Benzyna,Manualna,Auta miejskie,1 396 cm3,100 KM,5,Brązowy
Hyundai,i20,2012,19 300 PLN,181 000 km,Benzyna,Manualna,Sedan,1 248 cm3,86 KM,5,Czarny
Hyundai,i30,2015,38 400 PLN,108 065 km,Benzyna,Manualna,Kombi,1 368 cm3,100 KM,5,Czarny
Hyundai,i20,2012,18 000 PLN,145 000 km,Benzyna,Manualna,Auta miejskie,1 248 cm3,86 KM,5,Srebrny
Hyundai,i30,2011,21 500 PLN,148 000 km,Benzyna,Manualna,Kombi,1 396 cm3,109 KM,5,Srebrny
Hyundai,i10,2010,9 800 PLN,178 000 km,Benzyna,Manualna,Auta miejskie,1 086 cm3,67 KM,5,Czarny
Hyundai,Tucson,2018,92 000 PLN,91 730 km,Benzyna,Automatyczna,SUV,1 591 cm3,177 KM,5,Srebrny
Hyundai,Kona,2021,82 000 PLN,74 000 km,Benzyna,Automatyczna,SUV,1 598 cm3,198 KM,5,Czarny
Hyundai,i30,2011,21 500 PLN,150 500 km,Benzyna+LPG,Automatyczna,Kombi,1 591 cm3,126 KM,5,Brązowy
Hyundai,i30,2017,17 900 PLN,134 000 km,Benzyna,Manualna,Auta miejskie,998 cm3,120 KM,5,Inny kolor
Hyundai,Santa Fe,2016,61 500 PLN,123 500 km,Benzyna+LPG,Automatyczna,SUV,1 998 cm3,264 KM,5,Szary
Hyundai,i30,2018,42 500 PLN,83 500 km,Benzyna,Manualna,Auta miejskie,1 368 cm3,100 KM,,
Hyundai,Santa Fe,2010,42 800 PLN,197 826 km,Diesel,Automatyczna,SUV,2 199 cm3,197 KM,5,Szary
Hyundai,i30,2014,48 999 PLN,126 145 km,Benzyna,Manualna,Auta miejskie,1 591 cm3,135 KM,5,Biały
Hyundai,ix35,2015,49 900 PLN,184 000 km,Diesel,Manualna,SUV,1 995 cm3,136 KM,5,Szary
Hyundai,i10,2019,35 000 PLN,52 970 km,Benzyna,Manualna,Auta miejskie,998 cm3,67 KM,5,Biały
Hyundai,i10,2009,11 500 PLN,175 500 km,Benzyna,Manualna,Auta małe,1 086 cm3,66 KM,5,Beżowy
Hyundai,Tucson,2007,23 900 PLN,205 000 km,Diesel,Automatyczna,SUV,1 991 cm3,140 KM,5,Czarny
Hyundai,i20,2016,35 600 PLN,27 600 km,Benzyna,Manualna,Kompakt,1 248 cm3,84 KM,5,Niebieski
Hyundai,i40,2012,40 000 PLN,161 000 km,Benzyna,Manualna,Kombi,1 999 cm3,177 KM,5,Czarny
Hyundai,Tucson,2018,77 900 PLN,85 000 km,Benzyna,Manualna,SUV,1 591 cm3,132 KM,5,Biały
Hyundai,i30,2020,56 900 PLN,171 000 km,Diesel,Automatyczna,Kombi,1 598 cm3,136 KM,5,Szary
Hyundai,i20,2009,15 600 PLN,29 037 km,Benzyna,Manualna,Auta małe,1 248 cm3,78 KM,5,Niebieski
Hyundai,IONIQ,2018,59 900 PLN,91 000 km,Elektryczny,Automatyczna,Sedan,,120 KM,5,Szary
Hyundai,Santa Fe,2007,18 900 PLN,349 989 km,Diesel,Automatyczna,SUV,2 188 cm3,155 KM,5,Srebrny
Hyundai,Tucson,2018,89 000 PLN,185 000 km,Diesel,Automatyczna,SUV,1 995 cm3,185 KM,5,Granatowy
Hyundai,ix35,2011,38 000 PLN,210 765 km,Diesel,Automatyczna,SUV,1 995 cm3,184 KM,5,Srebrny
Hyundai,i30,2016,42 999 PLN,167 669 km,Benzyna,Manualna,Kombi,1 368 cm3,100 KM,5,Biały
Hyundai,ix35,2015,49 900 PLN,220 147 km,Diesel,Automatyczna,SUV,1 995 cm3,136 KM,5,Beżowy
Hyundai,i30,2012,33 900 PLN,56 700 km,Benzyna,Manualna,Kompakt,1 396 cm3,99 KM,5,Czerwony
Hyundai,Tucson,2016,72 000 PLN,140 000 km,Diesel,Manualna,SUV,1 685 cm3,116 KM,5,Czarny
Hyundai,i30,2011,18 900 PLN,240 323 km,Diesel,Manualna,Kombi,1 582 cm3,115 KM,5,Czarny
Hyundai,Tucson,2022,119 900 PLN,50 000 km,Benzyna,Automatyczna,SUV,1 598 cm3,150 KM,5,Szary
Hyundai,ix35,2015,58 000 PLN,94 000 km,Benzyna,Manualna,SUV,1 591 cm3,135 KM,5,Brązowy
Hyundai,ix20,2012,30 900 PLN,53 000 km,Benzyna,Manualna,Minivan,1 396 cm3,90 KM,5,Szary
Hyundai,ix35,2015,53 500 PLN,127 000 km,Benzyna,Manualna,SUV,1 591 cm3,135 KM,5,Czarny
Hyundai,i30,2011,13 000 PLN,316 000 km,Diesel,Manualna,Kombi,1 582 cm3,90 KM,5,Czarny
Hyundai,Tucson,2020,92 500 PLN,33 450 km,Benzyna,Manualna,SUV,1 591 cm3,132 KM,5,Biały
Hyundai,i10,2011,13 600 PLN,94 296 km,Benzyna,Manualna,Auta małe,1 086 cm3,69 KM,5,Inny kolor
Hyundai,ix35,2014,48 900 PLN,137 000 km,Benzyna,Manualna,SUV,1 591 cm3,135 KM,5,Biały
Hyundai,i30,2019,66 700 PLN,81 300 km,Benzyna,Manualna,Kompakt,998 cm3,120 KM,5,Szary
Hyundai,i30,2012,15 500 PLN,166 411 km,Benzyna,Manualna,Kompakt,1 396 cm3,100 KM,5,Czarny
Hyundai,Kona,2020,87 900 PLN,68 200 km,Benzyna,Automatyczna,SUV,1 591 cm3,177 KM,5,Szary
Hyundai,i20,2018,37 900 PLN,126 000 km,Benzyna,Manualna,Auta miejskie,1 248 cm3,84 KM,5,Srebrny
Hyundai,Tucson,2007,15 700 PLN,189 876 km,Benzyna,Manualna,SUV,1 975 cm3,141 KM,5,Czarny
Hyundai,ix35,2013,42 900 PLN,195 500 km,Diesel,Manualna,SUV,1 685 cm3,116 KM,5,Biały
Hyundai,i30 N,2023,111 500 PLN,26 048 km,Benzyna,Automatyczna,Kompakt,1 998 cm3,280 KM,5,Bordowy
Hyundai,ix35,2011,39 900 PLN,215 000 km,Benzyna+LPG,Automatyczna,SUV,1 998 cm3,163 KM,5,Inny kolor
Hyundai,i30,2020,45 000 PLN,165 000 km,Benzyna,Manualna,Kompakt,1 498 cm3,110 KM,5,Beżowy
Hyundai,ix35,2015,41 000 PLN,228 000 km,Diesel,Manualna,SUV,1 685 cm3,115 KM,5,Szary
Hyundai,ix35,2012,37 800 PLN,188 000 km,Benzyna,Automatyczna,SUV,1 998 cm3,163 KM,5,Błękitny
Hyundai,i30,2011,15 000 PLN,176 000 km,Benzyna,Manualna,Kompakt,1 396 cm3,109 KM,5,Czarny
Hyundai,IONIQ,2017,63 960 PLN,59 600 km,Hybryda,Automatyczna,Kompakt,1 580 cm3,105 KM,5,Czarny
Hyundai,IONIQ,2017,63 960 PLN,59 600 km,Hybryda,Automatyczna,Kompakt,1 580 cm3,105 KM,5,Czarny
Hyundai,Tucson,2024,159 813 PLN,1 km,Hybryda,Automatyczna,SUV,1 598 cm3,215 KM,5,Szary
Hyundai,Coupe,2002,17 000 PLN,90 000 km,Benzyna,Automatyczna,Coupe,1 975 cm3,136 KM,2,Czerwony
Hyundai,Tucson,2015,67 500 PLN,197 550 km,Diesel,Manualna,SUV,1 685 cm3,115 KM,5,Szary
Hyundai,Getz,2004,3 000 PLN,123 787 km,Benzyna,Manualna,Kompakt,1 086 cm3,63 KM,5,Czerwony
