Marka,Model,Rok produkcji,Cena,Przebieg,Rodzaj paliwa,Skrzynia biegów,Typ nadwozia,Pojemność skokowa,Moc,Liczba drzwi,Kolor
Skoda,Fabia,2017,19 900 PLN,232 085 km,Diesel,Manualna,Kombi,1 422 cm3,105 KM,5,Biały
Skoda,Octavia,2005,11 400 PLN,294 718 km,Diesel,Automatyczna,Sedan,1 896 cm3,105 KM,5,Czarny
Skoda,Octavia,2010,9 800 PLN,401 000 km,Diesel,Manualna,Sedan,1 896 cm3,105 KM,5,Granatowy
Skoda,Superb,2018,77 000 PLN,206 000 km,Diesel,Automatyczna,Kombi,1 968 cm3,190 KM,5,Biały
Skoda,Octavia,2014,45 900 PLN,224 000 km,Diesel,Automatyczna,Kombi,1 968 cm3,150 KM,5,Biały
Skoda,Octavia,2021,96 900 PLN,201 900 km,Diesel,Automatyczna,Sedan,1 968 cm3,200 KM,5,Srebrny
Skoda,Octavia,2014,37 500 PLN,180 000 km,Benzyna,Manualna,Sedan,1 395 cm3,140 KM,5,Biały
Skoda,Roomster,2012,18 800 PLN,185 800 km,Diesel,Manualna,Minivan,1 598 cm3,90 KM,5,Brązowy
Skoda,Fabia,2021,47 999,59 000 km,Benzyna+LPG,Manualna,Kompakt,999 cm3,60 KM,5,Biały
Skoda,Octavia,2006,9 000 PLN,308 206 km,Diesel,Manualna,Kompakt,1 896 cm3,101 KM,5,Niebieski
Skoda,Octavia,2007,9 999 PLN,250 000 km,Diesel,Manualna,Kombi,1 968 cm3,140 KM,5,Niebieski
Skoda,Octavia,2007,13 900 PLN,173 587 km,Benzyna,Manualna,Kombi,1 595 cm3,102 KM,5,Czerwony
Skoda,Superb,2024,183 350 PLN,1 km,Benzyna,Automatyczna,Kombi,1 498 cm3,150 KM,5,Czarny
Skoda,Kamiq,2024,100 500 PLN,1 km,Benzyna,Manualna,Kompakt,999 cm3,115 KM,5,Niebieski
Skoda,Kodiaq,2024,216 250 PLN,1 km,Diesel,Automatyczna,SUV,1 968 cm3,150 KM,5,Złoty
Skoda,Kodiaq,2024,216 250 PLN,1 km,Diesel,Automatyczna,SUV,1 968 cm3,150 KM,5,Złoty
Skoda,Kamiq,2024,98 300 PLN,1 km,Benzyna,Manualna,Kompakt,999 cm3,115 KM,5,Szary
Skoda,Superb,2024,218 900 PLN,1 km,Diesel,Automatyczna,Kombi,1 968 cm3,193 KM,,Czarny
Skoda,Kamiq,2023,108 250 PLN,1 km,Benzyna,Automatyczna,Auta miejskie,999 cm3,110 KM,5,Szary
Skoda,Kodiaq,2020,133 900 PLN,122 686 km,Diesel,Automatyczna,SUV,1 968 cm3,200 KM,5,Biały
Skoda,Kodiaq,2024,262 250 PLN,1 km,Diesel,Automatyczna,Kombi,1 968 cm3,193 KM,5,Szary
Skoda,Octavia,2024,131 200 PLN,5 km,Benzyna,Automatyczna,Kombi,1 498 cm3,150 KM,5,Czarny
Skoda,Superb,2019,74 200 PLN,199 000 km,Diesel,Automatyczna,Kombi,1 968 cm3,150 KM,5,Czarny
Skoda,Octavia,2023,149 900 PLN,6 200 km,Diesel,Automatyczna,Kombi,1 968 cm3,200 KM,5,Niebieski
Skoda,Superb,2017,75 000 PLN,179 600 km,Diesel,Automatyczna,Kombi,1 968 cm3,190 KM,5,Czarny
Skoda,Octavia,2018,49 990 PLN,132 000 km,Diesel,Manualna,Kombi,1 598 cm3,115 KM,5,Czarny
Skoda,Fabia,2019,34 900 PLN,177 000 km,Benzyna,Manualna,Kombi,999 cm3,95 KM,5,Biały
Skoda,Octavia,2017,67 000 PLN,260 000 km,Diesel,Automatyczna,Sedan,1 968 cm3,184 KM,5,Biały
Skoda,Octavia,2016,33 000 PLN,268 000 km,Diesel,Manualna,Kombi,1 598 cm3,110 KM,5,Srebrny
Skoda,Roomster,2013,18 900 PLN,190 000 km,Benzyna+LPG,Manualna,Minivan,1 390 cm3,86 KM,5,Złoty
Skoda,Scala,2021,52 899,154 000 km,Benzyna,Manualna,Kompakt,999 cm3,110 KM,5,Biały
Skoda,RAPID,2016,24 900 PLN,334 163 km,Benzyna,Manualna,Kompakt,1 197 cm3,110 KM,5,Inny kolor
Skoda,Octavia,2009,30 900 PLN,316 000 km,Diesel,Manualna,Kombi,1 968 cm3,170 KM,5,Czarny
Skoda,Octavia,2014,24 000 PLN,270 000 km,Benzyna,Automatyczna,Sedan,1 395 cm3,140 KM,5,Srebrny
Skoda,Felicia,1998,2 900 PLN,110 380 km,Benzyna,Manualna,Kompakt,1 289 cm3,68 KM,5,Srebrny
Skoda,Superb,2014,37 654 PLN,284 000 km,Diesel,Manualna,Sedan,1 598 cm3,105 KM,5,Szary
Skoda,Octavia,2016,47 999 PLN,60 400 km,Benzyna,Manualna,Kompakt,999 cm3,115 KM,5,Beżowy
Skoda,RAPID,2017,38 500 PLN,123 784 km,Benzyna,Manualna,Kompakt,999 cm3,95 KM,5,Szary
Skoda,Karoq,2023,146 000 PLN,17 259 km,Benzyna,Automatyczna,SUV,1 498 cm3,150 KM,5,Szary
Skoda,Superb,2017,69 000 PLN,117 000 km,Benzyna,Manualna,Sedan,1 395 cm3,150 KM,5,Szary
Skoda,Superb,2015,50 000 PLN,186 000 km,Diesel,Manualna,Sedan,1 968 cm3,170 KM,5,Biały
Skoda,Octavia,2019,70 000 PLN,44 666 km,Benzyna,Manualna,Kompakt,1 498 cm3,150 KM,5,Szary
Skoda,Fabia,2013,11 200 PLN,170 000 km,Benzyna,Manualna,Kombi,1 197 cm3,86 KM,5,Niebieski
Skoda,Superb,2014,26 900 PLN,398 000 km,Diesel,Automatyczna,Kombi,1 968 cm3,170 KM,5,Czarny
Skoda,Kamiq,2023,107 900 PLN,7 900 km,Benzyna,Automatyczna,SUV,1 000 cm3,110 KM,5,Biały
Skoda,Fabia,2008,9 000 PLN,297 000 km,Benzyna,Manualna,Kombi,1 390 cm3,85 KM,5,Bordowy
