Marka,Model,Rok produkcji,Cena,Przebieg,Rodzaj paliwa,Skrzynia biegów,Typ nadwozia,Pojemność skokowa,Moc,Liczba drzwi,Kolor
Citroën,Berlingo,2024,113 900 PLN,1 km,Benzyna,Manualna,Minivan,1 199 cm3,110 KM,5,Niebieski
Citroën,DS3,2010,16 900 PLN,182 500 km,Benzyna,Manualna,Auta miejskie,1 598 cm3,156 KM,3,Szary
Citroën,Jumpy Combi,2014,46 000 PLN,277 000 km,Diesel,Manualna,Minivan,1 997 cm3,163 KM,5,Srebrny
Citroën,C5 Aircross,2024,145 900 PLN,1 km,Diesel,Automatyczna,SUV,1 499 cm3,130 KM,5,Szary
Citroën,C4,2024,106 500 PLN,1 km,Benzyna,Manualna,Kompakt,1 199 cm3,130 KM,5,Szary
Citroën,Berlingo,2008,20 500 PLN,285 000 km,Diesel,Manualna,Minivan,1 560 cm3,110 KM,4,Zielony
Citroën,C1,2006,8 700 PLN,32 200 km,Benzyna,Automatyczna,Auta małe,998 cm3,68 KM,3,Srebrny
Citroën,DS5,2012,44 000 PLN,116 000 km,Diesel,Automatyczna,Kompakt,1 997 cm3,163 KM,5,Biały
Citroën,C5 Aircross,2023,139 999 PLN,12 500 km,Hybryda Plug-in,Automatyczna,SUV,1 598 cm3,180 KM,5,Szary
Citroën,C4,2014,21 500 PLN,233 333 km,Diesel,Manualna,Kompakt,1 560 cm3,112 KM,5,Granatowy
Citroën,Xsara Picasso,2003,6 900 PLN,168 000 km,Benzyna,Manualna,Minivan,1 749 cm3,116 KM,5,Srebrny
Citroën,C5 Aircross,2020,81 900 PLN,130 000 km,Benzyna,Automatyczna,SUV,1 598 cm3,181 KM,5,Inny kolor
Citroën,Berlingo,2012,24 900 PLN,225 000 km,Diesel,Manualna,Kombi,1 560 cm3,110 KM,4,Bordowy
Citroën,C1,2017,24 900 PLN,137 400 km,Benzyna,Manualna,Auta małe,998 cm3,68 KM,5,Inny kolor
Citroën,C4,2012,17 900 PLN,227 000 km,Diesel,Manualna,Kompakt,1 560 cm3,92 KM,5,Czarny
Citroën,DS3,2011,16 900 PLN,232 000 km,Benzyna,Manualna,Auta małe,1 397 cm3,95 KM,3,Niebieski
Citroën,Berlingo,2015,31 999 PLN,197 000 km,Diesel,Manualna,Kombi,1 560 cm3,92 KM,5,Szary
Citroën,C3 Aircross,2018,49 900 PLN,95 000 km,Benzyna,Manualna,SUV,1 199 cm3,110 KM,5,Czerwony
Citroën,C4 Picasso,2009,13 900 PLN,211 700 km,Diesel,Automatyczna,Minivan,1 560 cm3,109 KM,5,Brązowy
Citroën,C4 Picasso,2010,14 900 PLN,308 000 km,Diesel,Manualna,Minivan,1 560 cm3,110 KM,5,Czarny
Citroën,C4,2013,17 000 PLN,210 000 km,Diesel,Manualna,Kompakt,1 560 cm3,112 KM,5,Czarny
Citroën,DS4,2014,34 900 PLN,154 000 km,Diesel,Manualna,Kompakt,1 997 cm3,150 KM,5,Granatowy
Citroën,C4 Grand Picasso,2016,45 000 PLN,174 030 km,Diesel,Manualna,Minivan,1 997 cm3,150 KM,5,Biały
Citroën,C4 Grand Picasso,2007,13 900 PLN,239 000 km,Benzyna,Automatyczna,Minivan,1 997 cm3,140 KM,5,Inny kolor
Citroën,C4 Picasso,2009,13 900 PLN,214 298 km,Benzyna,Automatyczna,Minivan,1 598 cm3,150 KM,5,Niebieski
Citroën,Berlingo,2008,17 500 PLN,312 000 km,Diesel,Manualna,Minivan,1 560 cm3,90 KM,5,Inny kolor
Citroën,Saxo,2000,3 990 PLN,97 000 km,Benzyna,Manualna,Auta miejskie,1 124 cm3,60 KM,3,Niebieski
Citroën,C5,2009,15 900 PLN,315 000 km,Diesel,Manualna,Sedan,1 997 cm3,140 KM,4,Granatowy
Citroën,DS4,2011,32 200 PLN,112 180 km,Diesel,Automatyczna,Kompakt,1 560 cm3,112 KM,5,Biały
Citroën,C5,2008,14 999 PLN,295 566 km,Diesel,Automatyczna,Kombi,1 997 cm3,140 KM,5,Inny kolor
Citroën,Jumpy Combi,2010,29 900 PLN,290 000 km,Diesel,Manualna,Minivan,1 997 cm3,120 KM,4,Srebrny
Citroën,C4 Aircross,2012,20 000 PLN,250 000 km,Diesel,Manualna,SUV,1 798 cm3,150 KM,5,Szary
Citroën,C4,2021,64 900 PLN,81 000 km,Benzyna,Manualna,Kompakt,1 199 cm3,130 KM,5,Szary
Citroën,C4,2012,29 900 PLN,157 052 km,Benzyna+LPG,Manualna,Kompakt,1 598 cm3,120 KM,5,Brązowy
Citroën,C4 Cactus,2019,53 000 PLN,153 000 km,Diesel,Automatyczna,SUV,1 499 cm3,120 KM,5,Szary
Citroën,C3,2004,9 900 PLN,130 867 km,Benzyna,Automatyczna,Auta małe,1 587 cm3,109 KM,5,Niebieski
Citroën,C5X,2022,126 000 PLN,52 000 km,Benzyna,Automatyczna,Sedan,1 598 cm3,181 KM,5,Szary
Citroën,C3 Picasso,2016,27 999 PLN,126 019 km,Benzyna,Manualna,Minivan,1 199 cm3,110 KM,5,Bordowy
Citroën,C4,2006,5 000 PLN,262 020 km,Benzyna+LPG,Manualna,Kompakt,1 587 cm3,110 KM,5,Czerwony
Citroën,C4 Picasso,2014,39 000 PLN,145 800 km,Diesel,Manualna,Minivan,1 560 cm3,115 KM,5,Niebieski
Citroën,C5,2014,36 999 PLN,240 000 km,Diesel,Automatyczna,Kombi,2 179 cm3,204 KM,5,Złoty
Citroën,C-Crosser,2008,22 900 PLN,268 000 km,Diesel,Manualna,SUV,2 179 cm3,156 KM,5,Czarny
Citroën,C4,2013,15 550 PLN,259 000 km,Diesel,Manualna,Kompakt,1 560 cm3,92 KM,5,Szary
Citroën,C4 Picasso,2015,19 699 PLN,180 000 km,Diesel,Manualna,Minivan,1 560 cm3,115 KM,5,Błękitny
