Marka,Model,Rok produkcji,Cena,Przebieg,Rodzaj paliwa,Skrzynia biegów,Typ nadwozia,Pojemność skokowa,Moc,Liczba drzwi,Kolor
Nissan,Juke,2015,39 400 PLN,93 000 km,Benzyna,Manualna,SUV,1 598 cm3,94 KM,5,Czarny
Nissan,Qashqai,2013,41 000 PLN,149 000 km,Benzyna,Manualna,SUV,1 598 cm3,117 KM,5,Biały
Nissan,370 Z,2014,125 000 PLN,17 000 km,Benzyna,Manualna,Coupe,3 696 cm3,328 KM,3,Czerwony
Nissan,Qashqai,2019,73 677 PLN,90 000 km,Benzyna,Automatyczna,SUV,1 332 cm3,158 KM,5,Biały
Nissan,Qashqai,2018,67 800 PLN,129 500 km,Benzyna,Manualna,SUV,1 197 cm3,115 KM,5,Inny kolor
Nissan,Qashqai,2019,73 900 PLN,89 000 km,Benzyna,Manualna,SUV,1 332 cm3,140 KM,5,Szary
Nissan,Qashqai,2010,33 900 PLN,236 172 km,Benzyna,Manualna,SUV,1 997 cm3,140 KM,5,Czarny
Nissan,Qashqai,2013,41 900 PLN,132 000 km,Diesel,Manualna,SUV,1 598 cm3,130 KM,5,Złoty
Nissan,Micra,2016,31 800 PLN,71 845 km,Benzyna,Automatyczna,Kompakt,1 198 cm3,98 KM,5,Czarny
Nissan,Juke,2011,38 500 PLN,186 500 km,Benzyna+LPG,Manualna,SUV,1 618 cm3,190 KM,5,Bordowy
Nissan,Micra,2009,13 000 PLN,110 000 km,Benzyna,Manualna,Auta miejskie,1 240 cm3,65 KM,5,Czarny
Nissan,Pathfinder,2011,66 500 PLN,127 600 km,Diesel,Manualna,SUV,2 488 cm3,190 KM,5,Czarny
Nissan,Qashqai,2013,36 900 PLN,152 000 km,Diesel,Manualna,SUV,1 600 cm3,130 KM,5,Biały
Nissan,Patrol,2022,396 000 PLN,580 km,Benzyna,Manualna,SUV,4 759 cm3,280 KM,3,Czarny
Nissan,Note,2012,12 900 PLN,206 000 km,Diesel,Manualna,Auta miejskie,1 461 cm3,90 KM,5,Biały
Nissan,Qashqai+2,2012,42 500 PLN,193 500 km,Benzyna,Automatyczna,SUV,1 997 cm3,140 KM,5,Złoty
Nissan,Ariya,2024,247 900 PLN,4 km,Elektryczny,Automatyczna,SUV,,242 KM,5,Czarny
Nissan,Qashqai,2011,39 900 PLN,112 467 km,Benzyna,Manualna,SUV,1 598 cm3,117 KM,5,Czarny
Nissan,Juke,2012,34 000 PLN,89 000 km,Benzyna,Manualna,SUV,1 598 cm3,117 KM,5,Czarny
Nissan,Qashqai,2014,43 900 PLN,190 000 km,Diesel,Manualna,SUV,1 598 cm3,130 KM,5,Brązowy
Nissan,Patrol,1990,44 900 PLN,230 000 km,Diesel,Manualna,SUV,2 826 cm3,116 KM,3,Czerwony
Nissan,Leaf,2022,74 900 PLN,31 600 km,Elektryczny,Automatyczna,Kompakt,,150 KM,5,Czarny
Nissan,X-Trail,2017,64 500 PLN,154 000 km,Benzyna,Manualna,SUV,1 618 cm3,163 KM,5,Szary
Nissan,Qashqai,2010,30 000 PLN,236 000 km,Diesel,Manualna,SUV,1 995 cm3,150 KM,5,Czarny
Nissan,370 Z,2017,109 000 PLN,62 000 km,Benzyna,Manualna,Coupe,3 696 cm3,328 KM,2,Czarny
Nissan,370 Z,2010,110 000 PLN,51 000 km,Benzyna,Manualna,Coupe,3 696 cm3,331 KM,3,Fioletowy
Nissan,Micra,2003,3 000 PLN,127 406 km,Benzyna,Manualna,Auta miejskie,1 240 cm3,80 KM,3,Srebrny
Nissan,Micra,2017,52 900 PLN,35 000 km,Benzyna,Automatyczna,Auta miejskie,1 198 cm3,80 KM,5,Srebrny
Nissan,Qashqai,2009,22 900 PLN,220 000 km,Diesel,Manualna,SUV,1 461 cm3,106 KM,5,Złoty
Nissan,Pathfinder,2006,24 250 PLN,216 827 km,Benzyna+LPG,Automatyczna,SUV,3 954 cm3,269 KM,5,Srebrny
Nissan,NP300 Pickup,2011,22 000 PLN,100 000 km,Diesel,Manualna,SUV,2 488 cm3,133 KM,4,Srebrny
Nissan,Qashqai+2,2013,35 900 PLN,175 000 km,Benzyna,Manualna,SUV,1 598 cm3,116 KM,5,Biały
Nissan,Qashqai+2,2010,35 700 PLN,191 000 km,Benzyna,Manualna,SUV,1 997 cm3,140 KM,5,Biały
Nissan,Qashqai+2,2010,34 000 PLN,164 000 km,Benzyna,Manualna,SUV,1 997 cm3,140 KM,5,Czarny
Nissan,Primera,2007,7 900 PLN,250 000 km,Benzyna,Manualna,Kombi,1 769 cm3,116 KM,5,Srebrny
Nissan,Qashqai,2008,27 900 PLN,200 000 km,Benzyna,Manualna,SUV,1 997 cm3,141 KM,5,Błękitny
Nissan,Qashqai,2019,85 000 PLN,50 600 km,Diesel,Automatyczna,SUV,1 749 cm3,150 KM,5,Srebrny
Nissan,Qashqai,2014,42 800 PLN,150 960 km,Diesel,Manualna,SUV,1 461 cm3,110 KM,5,Biały
