Marka,Model,Rok produkcji,Cena,Przebieg,Rodzaj paliwa,Skrzynia biegów,Typ nadwozia,Pojemność skokowa,Moc,Liczba drzwi,Kolor
Jeep,Cherokee,2020,93 900 PLN,78 995 km,Benzyna,Automatyczna,SUV,1 994 cm3,270 KM,5,Biały
Jeep,Grand Cherokee,2013,85 000 PLN,177 000 km,Benzyna,Automatyczna,SUV,3 604 cm3,286 KM,5,Czarny
Jeep,Grand Cherokee,2018,315 000 PLN,158 000 km,Benzyna,Automatyczna,SUV,6 166 cm3,710 KM,5,Czarny
Jeep,Compass,2023,119 000 PLN,13 500 km,Benzyna,Automatyczna,SUV,1 995 cm3,200 KM,5,Czarny
Jeep,Grand Cherokee,2013,92 000 PLN,209 353 km,Diesel,Automatyczna,SUV,2 987 cm3,250 KM,5,Czarny
Jeep,Grand Cherokee,2015,92 000 PLN,131 000 km,Benzyna,Automatyczna,SUV,3 604 cm3,286 KM,5,Biały
Jeep,Compass,2018,69 900 PLN,143 000 km,Benzyna,Automatyczna,SUV,1 368 cm3,170 KM,5,Szary
Jeep,Commander,2006,44 000 PLN,253 152 km,Benzyna+LPG,Automatyczna,SUV,5 654 cm3,326 KM,5,Czarny
Jeep,Wrangler,2021,244 770 PLN,45 000 km,Benzyna,Automatyczna,SUV,1 995 cm3,272 KM,5,Bordowy
Jeep,Compass,2019,79 500 PLN,66 000 km,Diesel,Automatyczna,SUV,1 956 cm3,140 KM,5,Srebrny
Jeep,Wrangler,2016,98 700 PLN,114 000 km,Benzyna,Automatyczna,SUV,3 606 cm3,285 KM,5,Czarny
Jeep,Renegade,2019,74 250 PLN,121 000 km,Benzyna,Automatyczna,SUV,1 332 cm3,150 KM,5,Czarny
Jeep,Grand Cherokee,2016,91 500 PLN,170 000 km,Benzyna+LPG,Automatyczna,SUV,3 604 cm3,286 KM,5,Szary
Jeep,Compass,2021,119 800 PLN,65 000 km,Hybryda Plug-in,Automatyczna,SUV,1 332 cm3,180 KM,5,Niebieski
Jeep,Grand Cherokee,2014,76 500 PLN,186 000 km,Benzyna+LPG,Automatyczna,SUV,3 604 cm3,285 KM,5,Granatowy
Jeep,Cherokee,2016,80 000 PLN,107 000 km,Diesel,Automatyczna,SUV,2 184 cm3,200 KM,5,Szary
Jeep,Grand Cherokee,2000,28 000 PLN,257 000 km,Benzyna+LPG,Automatyczna,SUV,4 701 cm3,223 KM,5,Czarny
Jeep,Grand Cherokee,2000,28 000 PLN,257 000 km,Benzyna+LPG,Automatyczna,SUV,4 701 cm3,223 KM,5,Czarny
Jeep,Renegade,2017,54 900 PLN,250 065 km,Benzyna,Automatyczna,SUV,1 332 cm3,180 KM,5,Czerwony
Jeep,Wrangler,2021,235 000 PLN,32 000 km,Hybryda Plug-in,Automatyczna,SUV,1 995 cm3,272 KM,5,Czarny
Jeep,Wrangler,2017,188 800 PLN,98 000 km,Benzyna,Automatyczna,SUV,3 605 cm3,284 KM,5,Czarny
,,Unknown,nowe i używane samochody i motocykle oraz części samochodowe. Ogłoszenia motoryzacyjne.,,,,,,,,
Jeep,Grand Cherokee,2006,24 900 PLN,316 030 km,Diesel,Automatyczna,SUV,2 987 cm3,218 KM,5,Granatowy
Jeep,Wrangler,2014,115 000 PLN,124 000 km,Benzyna,Automatyczna,SUV,3 605 cm3,284 KM,5,Biały
Jeep,Compass,2017,66 900 PLN,98 471 km,Benzyna,Manualna,SUV,1 368 cm3,140 KM,5,Biały
Jeep,Grand Cherokee,2018,118 500 PLN,106 000 km,Benzyna,Automatyczna,SUV,5 654 cm3,352 KM,5,Biały
Jeep,Compass,2018,88 800 PLN,86 000 km,Benzyna,Automatyczna,SUV,2 360 cm3,183 KM,5,Granatowy
Jeep,Renegade,2020,52 900 PLN,148 000 km,Diesel,Manualna,SUV,1 598 cm3,130 KM,5,Srebrny
Jeep,Grand Cherokee,2016,81 000 PLN,210 000 km,Benzyna,Automatyczna,SUV,3 604 cm3,286 KM,5,Biały
